date,STUSPS,positiveIncreaseRate
2020-01-22,AL,0.0
2020-01-23,AL,0.0
2020-01-24,AL,0.0
2020-01-25,AL,0.0
2020-01-26,AL,0.0
2020-01-27,AL,0.0
2020-01-28,AL,0.0
2020-01-29,AL,0.0
2020-01-30,AL,0.0
2020-01-31,AL,0.0
2020-02-01,AL,0.0
2020-02-02,AL,0.0
2020-02-03,AL,0.0
2020-02-04,AL,0.0
2020-02-05,AL,0.0
2020-02-06,AL,0.0
2020-02-07,AL,0.0
2020-02-08,AL,0.0
2020-02-09,AL,0.0
2020-02-10,AL,0.0
2020-02-11,AL,0.0
2020-02-12,AL,0.0
2020-02-13,AL,0.0
2020-02-14,AL,0.0
2020-02-15,AL,0.0
2020-02-16,AL,0.0
2020-02-17,AL,0.0
2020-02-18,AL,0.0
2020-02-19,AL,0.0
2020-02-20,AL,0.0
2020-02-21,AL,0.0
2020-02-22,AL,0.0
2020-02-23,AL,0.0
2020-02-24,AL,0.0
2020-02-25,AL,0.0
2020-02-26,AL,0.0
2020-02-27,AL,0.0
2020-02-28,AL,0.0
2020-02-29,AL,0.0
2020-03-01,AL,0.0
2020-03-02,AL,0.0
2020-03-03,AL,0.0
2020-03-04,AL,0.0
2020-03-05,AL,0.0
2020-03-06,AL,0.0
2020-03-07,AL,0.0
2020-03-08,AL,0.0
2020-03-09,AL,0.0
2020-03-10,AL,0.0
2020-03-11,AL,0.0
2020-03-12,AL,0.0
2020-03-13,AL,0.020394906576031702
2020-03-14,AL,0.10197453288015852
2020-03-15,AL,0.12236943945619022
2020-03-16,AL,0.32631850521650724
2020-03-17,AL,0.16315925260825362
2020-03-18,AL,0.20394906576031704
2020-03-19,AL,0.4486879446726974
2020-03-20,AL,0.2651337854884121
2020-03-21,AL,0.8769809827693632
2020-03-22,AL,0.2855286920644438
2020-03-23,AL,0.5914522907049193
2020-03-24,AL,0.9789555156495218
2020-03-25,AL,1.3868536471701556
2020-03-26,AL,4.5480641664550685
2020-03-27,AL,1.651987432658568
2020-03-28,AL,2.223044816787456
2020-03-29,AL,2.2434397233634877
2020-03-30,AL,1.0809300485296802
2020-03-31,AL,2.4881786022758674
2020-04-01,AL,1.9579110312990435
2020-04-02,AL,3.1816054258609454
2020-04-03,AL,4.058586408630308
