datetimeobject,STUSPS,range,midpoint,median,score,rank
2020-02-13,AK,0.0,0.0,0.0,0.0,1.0
2020-02-13,AL,0.0,0.0,0.0,0.0,1.0
2020-02-13,AR,0.0,0.0,0.0,0.0,1.0
2020-02-13,AZ,0.0,0.0,0.0,0.0,1.0
2020-02-13,CA,0.0,0.0,0.0,0.0,1.0
2020-02-13,CO,0.0,0.0,0.0,0.0,1.0
2020-02-13,CT,0.0,0.0,0.0,0.0,1.0
2020-02-13,DC,0.0,0.0,0.0,0.0,1.0
2020-02-13,DE,0.0,0.0,0.0,0.0,1.0
2020-02-13,FL,0.0,0.0,0.0,0.0,1.0
2020-02-13,GA,0.0,0.0,0.0,0.0,1.0
2020-02-13,HI,0.0,0.0,0.0,0.0,1.0
2020-02-13,IA,0.0,0.0,0.0,0.0,1.0
2020-02-13,ID,0.0,0.0,0.0,0.0,1.0
2020-02-13,IL,0.0,0.0,0.0,0.0,1.0
2020-02-13,IN,0.0,0.0,0.0,0.0,1.0
2020-02-13,KS,0.0,0.0,0.0,0.0,1.0
2020-02-13,KY,0.0,0.0,0.0,0.0,1.0
2020-02-13,LA,0.0,0.0,0.0,0.0,1.0
2020-02-13,MA,0.0,0.0,0.0,0.0,1.0
2020-02-13,MD,0.0,0.0,0.0,0.0,1.0
2020-02-13,ME,0.0,0.0,0.0,0.0,1.0
2020-02-13,MI,0.0,0.0,0.0,0.0,1.0
2020-02-13,MN,0.0,0.0,0.0,0.0,1.0
2020-02-13,MO,0.0,0.0,0.0,0.0,1.0
2020-02-13,MS,0.0,0.0,0.0,0.0,1.0
2020-02-13,MT,0.0,0.0,0.0,0.0,1.0
2020-02-13,NC,0.0,0.0,0.0,0.0,1.0
2020-02-13,ND,0.0,0.0,0.0,0.0,1.0
2020-02-13,NE,0.0,0.0,0.0,0.0,1.0
2020-02-13,NH,0.0,0.0,0.0,0.0,1.0
2020-02-13,NJ,0.0,0.0,0.0,0.0,1.0
