datetimeobject,epochmilli,STUSPS,positiveIncrease,positiveCumulative,deathIncrease,deathCumulative,positiveRate,deathRate,positiveIncreaseRate,deathIncreaseRate,ndays
2020-01-22,1579651200000,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,GA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,HI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,ID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,IL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,IA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,MN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,MO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,NH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,NJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,NC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,RI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,1579651200000,TN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
